ticker,horizon,h_days,as_of_date,last_price,pred_return_pct,pred_price,target_date
TCS.NS,next_day,1,2026-07-10,2069.0,0.173,2072.57,2026-07-13
INFY.NS,next_day,1,2026-07-10,1068.0,0.152,1069.62,2026-07-13
HCLTECH.NS,next_day,1,2026-07-10,1164.1,0.04,1164.57,2026-07-13
WIPRO.NS,next_day,1,2026-07-10,175.46,0.131,175.69,2026-07-13
TECHM.NS,next_day,1,2026-07-10,1454.8,-0.326,1450.06,2026-07-13
OFSS.NS,next_day,1,2026-07-10,11651.0,-0.154,11633.1,2026-07-13
PERSISTENT.NS,next_day,1,2026-07-10,5053.9,0.1,5058.95,2026-07-13
COFORGE.NS,next_day,1,2026-07-10,1503.8,-0.218,1500.52,2026-07-13
MPHASIS.NS,next_day,1,2026-07-10,2321.9,-0.045,2320.86,2026-07-13
LTTS.NS,next_day,1,2026-07-10,3278.2,-0.001,3278.17,2026-07-13
HDFCBANK.NS,next_day,1,2026-07-10,824.95,-0.075,824.33,2026-07-13
ICICIBANK.NS,next_day,1,2026-07-10,1401.2,-0.23,1397.97,2026-07-13
SBIN.NS,next_day,1,2026-07-10,1036.0,-0.265,1033.26,2026-07-13
BAJFINANCE.NS,next_day,1,2026-07-10,1020.5,-0.236,1018.09,2026-07-13
AXISBANK.NS,next_day,1,2026-07-10,1323.7,-0.318,1319.49,2026-07-13
KOTAKBANK.NS,next_day,1,2026-07-10,377.6,-0.284,376.53,2026-07-13
BAJAJFINSV.NS,next_day,1,2026-07-10,1916.0,-0.349,1909.32,2026-07-13
SHRIRAMFIN.NS,next_day,1,2026-07-10,1044.1,-0.373,1040.2,2026-07-13
SBILIFE.NS,next_day,1,2026-07-10,1862.9,-0.1,1861.03,2026-07-13
JIOFIN.NS,next_day,1,2026-07-10,241.96,0.245,242.55,2026-07-13
RELIANCE.NS,next_day,1,2026-07-10,1307.8,-0.085,1306.68,2026-07-13
ADANIPOWER.NS,next_day,1,2026-07-10,218.45,0.171,218.82,2026-07-13
NTPC.NS,next_day,1,2026-07-10,344.55,-0.24,343.72,2026-07-13
ONGC.NS,next_day,1,2026-07-10,244.96,-0.063,244.81,2026-07-13
POWERGRID.NS,next_day,1,2026-07-10,283.1,0.056,283.26,2026-07-13
COALINDIA.NS,next_day,1,2026-07-10,429.3,-0.071,428.99,2026-07-13
ADANIGREEN.NS,next_day,1,2026-07-10,1536.6,0.518,1544.56,2026-07-13
IOC.NS,next_day,1,2026-07-10,138.96,-0.052,138.89,2026-07-13
ADANIENSOL.NS,next_day,1,2026-07-10,1654.0,0.172,1656.84,2026-07-13
BPCL.NS,next_day,1,2026-07-10,309.75,-0.102,309.43,2026-07-13
